"mainnumber","Price","PromoPrice","Available",
"15064","99000.0000","39900.0000","False",
"10852","764200.0000","649570","False",
"11754","254900.0000","159000.0000","False",
"12813","75200.0000","63920","False",
"13300","7200.0000","6120","False",
"16735","364500.0000","261000.0000","False",
"10332","764200.0000","529000.0000","False",
"11234","102700.0000","87295","False",
"12293","230100.0000","195585","False",
"13195","12100.0000","10285","False",
"13725","71000.0000","60350","False",
"15156","25500.0000","21675","False",
"10529","184100.0000","156485","False",
"11588","14000.0000","11900","False",
"12490","240600.0000","204510","False",
"13922","69400.0000","19000.0000","False",
"14241","14700.0000","7700.0000","False",
"15353","263300.0000","223805","False",
"16412","525800.0000","446930","False",
"10840","1061400.0000","902190","False",
"11899","25000.0000","21250","False",
"12801","180600.0000","153510","False",
"14119","40300.0000","40300.0000","False",
"14595","329400.0000","229000.0000","True",
"16723","368100.0000","264900.0000","False",
"11037","120300.0000","75900.0000","False",
"12096","403400.0000","342890","False",
"13414","18200.0000","15470","False",
"15375","278900.0000","278900.0000","False",
"10218","70800.0000","60180","False",
"12179","32000.0000","27200","False",
"13081","25000.0000","21250","False",
"13839","81900.0000","81900.0000","False",
"15042","38400.0000","32640","False",
"10415","311400.0000","264690","False",
"11474","120300.0000","102255","False",
"12376","73000.0000","62050","False",
"14036","87900.0000","87900.0000","False",
"15239","4000.0000","3400","False",
"10726","74600.0000","63410","False",
"11785","113400.0000","96390","False",
"12687","5300.0000","4505","False",
"13331","4300.0000","3655","False",
"14481","22000.0000","18700","False",
"16609","11400.0000","9690","False",
"10021","177000.0000","150450","False",
"10923","155800.0000","132430","False",
"11982","38400.0000","32640","False",
"13041","318400.0000","270640","False",
"13528","175500.0000","149175","False",
"14678","13300.0000","11305","False",
"14845","371500.0000","315775","False",
"16548","2600.0000","2210","False",
"16806","134600.0000","114410","False",
"10256","198200.0000","168470","False",
"11158","62500.0000","49900.0000","True",
"12217","76900.0000","65365","False",
"13119","671300.0000","479900.0000","False",
"13649","13800.0000","11000.0000","True",
"14571","55000.0000","46750","False",
"10453","12900.0000","10965","False",
"11512","4400.0000","3740","False",
"12414","424600.0000","360910","False",
"13846","2000.0000","1700","False",
"15277","88600.0000","75310","False",
"10764","269100.0000","228735","False",
"11823","30700.0000","18990.0000","False",
"12725","25500.0000","21675","False",
"14043","499000.0000","424150","False",
"10059","513000.0000","436050","False",
"10961","45300.0000","38505","False",
"12020","46900.0000","36900.0000","True",
"13338","3400.0000","2890","False",
"14260","18700.0000","18700.0000","False",
"14883","74600.0000","63410","False",
"10142","25000.0000","21250","False",
"11201","21800.0000","18530","False",
"12103","7700.0000","6545","False",
"13763","109300.0000","92905","False",
"14614","657800.0000","369000.0000","False",
"14966","58200.0000","49470","False",
"16783","274900.0000","274900.0000","False",
"10339","369500.0000","314075","False",
"11398","219400.0000","186490","False",
