CIDIPR,ITEMPR,PHQTPR,BARCOD,LARTAR,SELPPR
480,15608,24.000,48503044,GLORIA CLASSIC SLIMS,550.000
480,15608,24.000,48503044,GLORIA CLASSIC SLIMS,550.000
480,15612,38.000,48503174,MT SILVER SLIMS,550.000
480,15620,26.000,48503624,CLASSIC ULTIMA SLIMS,500.000
480,15619,20.000,48503839,CLASSIC GOLD SLIMS,500.000
480,15619,20.000,48503839,CLASSIC GOLD SLIMS,500.000
480,15615,1.000,48504027,MT ONE 1 SUPERSLIMS,550.000
480,10723,.000,48504041,BOND CLASSIC,450.000
480,10724,.000,48504058,BOND SPECIAL,450.000
480,56395,54.000,48504096,CIGARONNE SUPER SLIMS WHITE,800.000
480,56405,60.000,48504102,CIGARONNE SUPER SLIMS BLACK,800.000
480,15581,23.000,48504324,VIP BLACK,500.000
480,15581,23.000,48504324,VIP BLACK,500.000
480,15582,41.000,48504331,VIP RED,500.000
480,15582,41.000,48504331,VIP RED,500.000
480,15583,8.000,48504348,VIP GOLD,500.000
480,15583,8.000,48504348,VIP GOLD,500.000
480,15584,582.000,48504355,VIP BLUE,500.000
480,15585,28.000,48504362,VIP PLATINUM,500.000
480,15585,28.000,48504362,VIP PLATINUM,500.000
480,15588,34.000,48505239,EREBUNI BLUE LABEL,470.000
480,15624,29.000,48505420,MASIS BLUE LINE SUPERSLIMS,450.000
480,15622,29.000,48505475,BLACK TIP SLIM SIZE,450.000
480,15613,27.000,48505536,MT BLUE LABEL,550.000
480,15613,27.000,48505536,MT BLUE LABEL,550.000
480,15594,6.000,48505543,GARNI PREMIUM GOLD,450.000
480,15594,6.000,48505543,GARNI PREMIUM GOLD,450.000
480,15595,.000,48505642,GARNI PREMIUM BLUE,450.000
480,15591,39.000,48505710,YEREVAN SUPERSLIMS,480.000
480,15629,24.000,48505741,THE ONE SLIMS NERO,420.000
480,15630,.000,48506113,VAN BLUE SLIM,430.000
480,15579,21.000,48506144,VIP NERO ULTRASLIMS,500.000
480,15580,21.000,48506151,VIP ARGENTO ULTRASLIMS,500.000
480,15574,24.000,48506328,AKHTAMAR BLACK NANOKING,550.000
480,15575,46.000,48506335,AKHTAMAR SILVER NANOKING,550.000
480,15601,136.000,48506373,ARARAT EXCLUSIVE 84,800.000
480,15616,.000,48506380,MT BLUE SUPER KINGS,550.000
480,15628,10.000,48506755,RED LINE EXTRA SUPERKINGS,420.000
480,15623,17.000,48506823,BLACK TIP ULTRA SLIM,450.000
480,56396,50.000,48507622,CIGARONNE ULTRA SLIMS BLACK,650.000
480,56397,38.000,48507639,CIGARONNE ULTRA SLIMS WHITE,650.000
480,15572,26.000,48507905,AKHTAMAR BLACK FLAME 115 M,800.000
480,15600,26.000,48507936,ARARAT EXCLUSIVE 115,1000.000
480,15605,100.000,48508094,ARARAT SPECIAL 84,800.000
480,10717,60.000,48508117,PARLAMENT CARAT BLUE,1000.000
480,55747,24.000,48508483,AKHTAMAR CHARCOAL,550.000
480,15614,34.000,48508513,MT BLUE SUPERSLIMS,550.000
480,56390,64.000,48508636,CIGARONNE KING SIZE BLACK,850.000
480,56390,64.000,48508636,CIGARONNE KING SIZE BLACK,850.000
480,56390,64.000,48508636,CIGARONNE KING SIZE BLACK,850.000
480,56391,62.000,48508643,CIGARONNE KING SIZE WHITE,850.000
480,64652,42.000,48508865,MASTER NANOKINGS ONE,600.000
480,60906,19.000,48508872,ARARAT CHARCOAL SUPERSLIMS,800.000
480,15602,41.000,48508889,ARARAT EXCLUSIVE 100,800.000
480,10728,.000,48508896,BOND SLIMS BLUE 100,380.000
480,56404,56.000,48508926,CIGARONNE ROYAL SLIMS BLACK,1500.000
480,56393,79.000,48508933,CIGARONNE ROYAL SLIMS WHITE,1500.000
480,15604,52.000,48508988,ARARAT CHARCOAL,800.000
480,15603,47.000,48509039,ARARAT SILVER LINE,800.000
480,10704,72.000,48509169,MARLBORO RED,850.000
480,10705,.000,48509176,MARLBORO FLAVOR PLUS,850.000
480,55762,40.000,48509183,MARLBORO TOUCH 4MG,800.000
480,55764,67.000,48509190,MARLBORO TOUCH 1MG,800.000
480,55760,1.000,48509206,MARLBORO TOUCH 6MG,800.000
480,55768,87.000,48509213,MARLBORO FINE TOUCH XL 100,700.000
480,10712,95.000,48509237,PARLAMENT AQUA,1000.000
480,10713,137.000,48509244,PARLAMENT SILVER,1000.000
480,10714,35.000,48509251,PARLAMENT SS,1000.000
480,10715,48.000,48509268,PARLAMENT RESERVE,1000.000
480,55772,38.000,48509275,PARLAMENT CARAT 1MG,1000.000
480,10706,104.000,48509282,MARLBORO GOLD,850.000
480,10711,9.000,48509350,PARLAMENT NIGHT,1000.000
480,55741,.000,48509381,GT ORIGINAL SLIMS,480.000
480,10709,81.000,48509459,MARLBORO MICRO,800.000
480,55733,528.000,48509466,AKHTAMAR SUPERSLIMS,550.000
480,10725,57.000,48509473,BOND STREET SSL BLUE,480.000
480,10726,39.000,48509480,BOND STREET SSL SILVER,480.000
480,55786,85.000,48509497,BOND STREET COMPACT SILVER 7.0,480.000
480,55784,75.000,48509503,BOND STREET COMPACT BLUE 7.0,480.000
480,10727,30.000,48509510,BOND KS SSL,480.000
480,55770,54.000,48509527,MARLBORO PREMIUM BLCK KS,800.000
480,55743,13.000,48509534,VIP BLUE COMPACT,500.000
480,55745,.000,48509541,VIP SILVER COMPACT,400.000
480,10720,41.000,48509572,L&M LOFT SEA BLUE,550.000
480,55774,86.000,48509589,L&M LOFT NEON BLUE,550.000
480,10719,62.000,48509596,L&M LOFT BLUE,550.000
480,10722,.000,48509619,L&M MOTION SILVER,570.000
480,63171,28.000,48509817,MT COMPACT,550.000
480,63171,28.000,48509817,MT COMPACT,550.000
480,55737,33.000,48509848,BLACK TIP BROWN,450.000
480,55737,33.000,48509848,BLACK TIP BROWN,450.000
480,55737,33.000,48509848,BLACK TIP BROWN,450.000
480,55739,27.000,48509855,BLACK TIP WHITE,450.000
480,56373,4.000,48510066,ALKASAR TWO APPLES 50GR,800.000
480,56383,1.000,48510080,ALKASAR RED BERRIES & MINT 50GR,800.000
480,56382,2.000,48510141,ALKASAR WATERMELON 50GR,800.000
480,56381,1.000,48510172,ALKASAR LEMON 50GR,800.000
480,59591,.000,48510332,AMG CIGARETTE ULTRA SLIMS,410.000
480,59592,.000,48510349,AMG CIGARETTE SUPER SLIMS,430.000
480,56380,6.000,48510363,ALKASAR BLUE MIX 50GR,800.000
480,56375,5.000,48510387,ALKASAR ORANGE 50GR,800.000
480,56735,26.000,48510424,THE ONE SUPERSLIMS SIZE,380.000
480,56378,3.000,48510455,ALKASAR APPLE 50GR,800.000
480,56377,4.000,48510462,ALKASAR MINT 50GR,800.000
480,56374,2.000,48510479,ALKASAR FROSTY BLACKBERRY 50GR,800.000
